2015-12-11 14:52:36.1910|WARN|thread: 1|StandardUserErrors|Showing user error Failed to create a new commit.
System.ArgumentNullException: Failed Null Check on 'commitModel'
Parameter name: commitModel
   at GitHub.Helpers.Ensure.ArgumentNotNull(Object value, String name)
   at GitHub.ViewModels.CommitViewModel..ctor(IRepositoryModel repository, ICommitModel commitModel, ICommittedFileForklift committedFileForklift, IAvatarProvider avatarProvider, IInlineTextProvider inlineTextProvider)
   at GitHub.Helpers.CommitCreator.<>c__DisplayClass2.<CreateCommit>b__1(<>f__AnonymousType0`2 x)
   at System.Reactive.Linq.ObservableImpl.Select`2._.OnNext(TSource value)
2015-12-11 14:49:22.3240|INFO|thread:40|GitEnvironment|PATH is C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Vaithynathan\AppData\Local\Apps\2.0\JD1G1TZR.YGV\GGLVCAYB.M25\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\Vaithynathan\AppData\Local\GitHub\lfs-amd64_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-12-11 14:49:22.3240|INFO|thread:40|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'add --all "HolyBible/src/com/truetech/holybible/functions/ChuckApplication.java" ', Working Directory: C:\Users\Vaithynathan\Desktop\HolyBible\
2015-12-11 14:49:22.3680|INFO|thread:40|GitEnvironment|Process set up with this SSH Agent info: 4956:/tmp/ssh-oGoaStqAbPxd/agent.4912
2015-12-11 14:49:22.3680|INFO|thread:40|GitEnvironment|PATH is C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Vaithynathan\AppData\Local\Apps\2.0\JD1G1TZR.YGV\GGLVCAYB.M25\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\Vaithynathan\AppData\Local\GitHub\lfs-amd64_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-12-11 14:49:22.3680|INFO|thread:40|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'add --all "HolyBible/src/com/truetech/holybible/functions/CompatibilityUtil.java" ', Working Directory: C:\Users\Vaithynathan\Desktop\HolyBible\
2015-12-11 14:49:22.4140|INFO|thread:40|GitEnvironment|Process set up with this SSH Agent info: 4956:/tmp/ssh-oGoaStqAbPxd/agent.4912
2015-12-11 14:49:22.4140|INFO|thread:40|GitEnvironment|PATH is C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Vaithynathan\AppData\Local\Apps\2.0\JD1G1TZR.YGV\GGLVCAYB.M25\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\Vaithynathan\AppData\Local\GitHub\lfs-amd64_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-12-11 14:49:22.4140|INFO|thread:40|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'add --all "HolyBible/src/com/truetech/holybible/functions/NotesValues.java" ', Working Directory: C:\Users\Vaithynathan\Desktop\HolyBible\
2015-12-11 14:49:22.4740|INFO|thread:40|GitEnvironment|Process set up with this SSH Agent info: 4956:/tmp/ssh-oGoaStqAbPxd/agent.4912
2015-12-11 14:49:22.4740|INFO|thread:40|GitEnvironment|PATH is C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Vaithynathan\AppData\Local\Apps\2.0\JD1G1TZR.YGV\GGLVCAYB.M25\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\Vaithynathan\AppData\Local\GitHub\lfs-amd64_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-12-11 14:49:22.4740|INFO|thread:40|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'add --all "HolyBible/src/com/truetech/holybible/IndexChapter.java" ', Working Directory: C:\Users\Vaithynathan\Desktop\HolyBible\
2015-12-11 14:49:22.5170|INFO|thread:42|GitEnvironment|Process set up with this SSH Agent info: 4956:/tmp/ssh-oGoaStqAbPxd/agent.4912
2015-12-11 14:49:22.5170|INFO|thread:42|GitEnvironment|PATH is C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Vaithynathan\AppData\Local\Apps\2.0\JD1G1TZR.YGV\GGLVCAYB.M25\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\Vaithynathan\AppData\Local\GitHub\lfs-amd64_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-12-11 14:49:22.5170|INFO|thread:42|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'add --all "HolyBible/src/com/truetech/holybible/IndexChapterN.java" ', Working Directory: C:\Users\Vaithynathan\Desktop\HolyBible\
2015-12-11 14:49:22.5640|INFO|thread:42|GitEnvironment|Process set up with this SSH Agent info: 4956:/tmp/ssh-oGoaStqAbPxd/agent.4912
2015-12-11 14:49:22.5640|INFO|thread:42|GitEnvironment|PATH is C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Vaithynathan\AppData\Local\Apps\2.0\JD1G1TZR.YGV\GGLVCAYB.M25\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\Vaithynathan\AppData\Local\GitHub\lfs-amd64_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-12-11 14:49:22.5640|INFO|thread:42|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'add --all "HolyBible/src/com/truetech/holybible/LangSelection.java" ', Working Directory: C:\Users\Vaithynathan\Desktop\HolyBible\
2015-12-11 14:49:22.6250|INFO|thread:42|GitEnvironment|Process set up with this SSH Agent info: 4956:/tmp/ssh-oGoaStqAbPxd/agent.4912
2015-12-11 14:49:22.6250|INFO|thread:42|GitEnvironment|PATH is C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Vaithynathan\AppData\Local\Apps\2.0\JD1G1TZR.YGV\GGLVCAYB.M25\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\Vaithynathan\AppData\Local\GitHub\lfs-amd64_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-12-11 14:49:22.6250|INFO|thread:42|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'add --all "HolyBible/src/com/truetech/holybible/Note.java" ', Working Directory: C:\Users\Vaithynathan\Desktop\HolyBible\
2015-12-11 14:49:22.6940|INFO|thread:42|GitEnvironment|Process set up with this SSH Agent info: 4956:/tmp/ssh-oGoaStqAbPxd/agent.4912
2015-12-11 14:49:22.6940|INFO|thread:42|GitEnvironment|PATH is C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Vaithynathan\AppData\Local\Apps\2.0\JD1G1TZR.YGV\GGLVCAYB.M25\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\Vaithynathan\AppData\Local\GitHub\lfs-amd64_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-12-11 14:49:22.6940|INFO|thread:42|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'add --all "HolyBible/src/com/truetech/holybible/NotesSave.java" ', Working Directory: C:\Users\Vaithynathan\Desktop\HolyBible\
2015-12-11 14:49:22.7370|INFO|thread:18|GitEnvironment|Process set up with this SSH Agent info: 4956:/tmp/ssh-oGoaStqAbPxd/agent.4912
2015-12-11 14:49:22.7370|INFO|thread:18|GitEnvironment|PATH is C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Vaithynathan\AppData\Local\Apps\2.0\JD1G1TZR.YGV\GGLVCAYB.M25\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\Vaithynathan\AppData\Local\GitHub\lfs-amd64_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-12-11 14:49:22.7370|INFO|thread:18|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'add --all "HolyBible/src/com/truetech/holybible/NotesUpdate.java" ', Working Directory: C:\Users\Vaithynathan\Desktop\HolyBible\
2015-12-11 14:49:22.7800|INFO|thread:43|GitEnvironment|Process set up with this SSH Agent info: 4956:/tmp/ssh-oGoaStqAbPxd/agent.4912
2015-12-11 14:49:22.7800|INFO|thread:43|GitEnvironment|PATH is C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Vaithynathan\AppData\Local\Apps\2.0\JD1G1TZR.YGV\GGLVCAYB.M25\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\Vaithynathan\AppData\Local\GitHub\lfs-amd64_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-12-11 14:49:22.7800|INFO|thread:43|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'add --all "HolyBible/src/com/truetech/holybible/Search.java" ', Working Directory: C:\Users\Vaithynathan\Desktop\HolyBible\
2015-12-11 14:49:22.8210|INFO|thread: 8|GitEnvironment|Process set up with this SSH Agent info: 4956:/tmp/ssh-oGoaStqAbPxd/agent.4912
2015-12-11 14:49:22.8210|INFO|thread: 8|GitEnvironment|PATH is C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Vaithynathan\AppData\Local\Apps\2.0\JD1G1TZR.YGV\GGLVCAYB.M25\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\Vaithynathan\AppData\Local\GitHub\lfs-amd64_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-12-11 14:49:22.8210|INFO|thread: 8|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'add --all "HolyBible/src/com/truetech/holybible/Settings.java" ', Working Directory: C:\Users\Vaithynathan\Desktop\HolyBible\
2015-12-11 14:49:22.8640|INFO|thread:23|GitEnvironment|Process set up with this SSH Agent info: 4956:/tmp/ssh-oGoaStqAbPxd/agent.4912
2015-12-11 14:49:22.8640|INFO|thread:23|GitEnvironment|PATH is C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Vaithynathan\AppData\Local\Apps\2.0\JD1G1TZR.YGV\GGLVCAYB.M25\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\Vaithynathan\AppData\Local\GitHub\lfs-amd64_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-12-11 14:49:22.8640|INFO|thread:23|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'add --all "HolyBible/src/com/truetech/holybible/SplashScreen.java" ', Working Directory: C:\Users\Vaithynathan\Desktop\HolyBible\
2015-12-11 14:49:22.9050|INFO|thread:41|GitEnvironment|Process set up with this SSH Agent info: 4956:/tmp/ssh-oGoaStqAbPxd/agent.4912
2015-12-11 14:49:22.9050|INFO|thread:41|GitEnvironment|PATH is C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Vaithynathan\AppData\Local\Apps\2.0\JD1G1TZR.YGV\GGLVCAYB.M25\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\Vaithynathan\AppData\Local\GitHub\lfs-amd64_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-12-11 14:49:22.9050|INFO|thread:41|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'add --all "HolyBible/src/com/truetech/holybible/TabBookmarks.java" ', Working Directory: C:\Users\Vaithynathan\Desktop\HolyBible\
2015-12-11 14:49:22.9450|INFO|thread:37|GitEnvironment|Process set up with this SSH Agent info: 4956:/tmp/ssh-oGoaStqAbPxd/agent.4912
2015-12-11 14:49:22.9450|INFO|thread:37|GitEnvironment|PATH is C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Vaithynathan\AppData\Local\Apps\2.0\JD1G1TZR.YGV\GGLVCAYB.M25\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\Vaithynathan\AppData\Local\GitHub\lfs-amd64_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-12-11 14:49:22.9450|INFO|thread:37|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'add --all "HolyBible/src/com/trutech/holybible/adapter/AdvSearchGridAdapter.java" ', Working Directory: C:\Users\Vaithynathan\Desktop\HolyBible\
2015-12-11 14:49:22.9850|INFO|thread:22|GitEnvironment|Process set up with this SSH Agent info: 4956:/tmp/ssh-oGoaStqAbPxd/agent.4912
2015-12-11 14:49:22.9850|INFO|thread:22|GitEnvironment|PATH is C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Vaithynathan\AppData\Local\Apps\2.0\JD1G1TZR.YGV\GGLVCAYB.M25\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\Vaithynathan\AppData\Local\GitHub\lfs-amd64_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-12-11 14:49:22.9850|INFO|thread:22|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'add --all "HolyBible/src/com/trutech/holybible/adapter/BookmarkAdapter.java" ', Working Directory: C:\Users\Vaithynathan\Desktop\HolyBible\
2015-12-11 14:49:23.0270|INFO|thread:44|GitEnvironment|Process set up with this SSH Agent info: 4956:/tmp/ssh-oGoaStqAbPxd/agent.4912
2015-12-11 14:49:23.0270|INFO|thread:44|GitEnvironment|PATH is C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Vaithynathan\AppData\Local\Apps\2.0\JD1G1TZR.YGV\GGLVCAYB.M25\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\Vaithynathan\AppData\Local\GitHub\lfs-amd64_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-12-11 14:49:23.0270|INFO|thread:44|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'add --all "HolyBible/src/com/trutech/holybible/adapter/ContentListAdapter.java" ', Working Directory: C:\Users\Vaithynathan\Desktop\HolyBible\
2015-12-11 14:49:23.0670|INFO|thread:44|GitEnvironment|Process set up with this SSH Agent info: 4956:/tmp/ssh-oGoaStqAbPxd/agent.4912
2015-12-11 14:49:23.0670|INFO|thread:44|GitEnvironment|PATH is C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin;C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\share\git-tfs;C:\Users\Vaithynathan\AppData\Local\Apps\2.0\JD1G1TZR.YGV\GGLVCAYB.M25\gith..tion_317444273a93ac29_0003.0000_f3a9f44c4e4f6514;C:\Users\Vaithynathan\AppData\Local\GitHub\lfs-amd64_1.0.2;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2015-12-11 14:49:23.0670|INFO|thread:44|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Vaithynathan\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\cmd\git.exe', Args: 'add --all "HolyBible/src/com/trutech/holybible/adapter/NotesAdapter.java" ', Working Directory: C:\Users\Vaithynathan\Desktop\HolyBible\
2015-12-11 14:49:23.1070|INFO|thread:44|GitEnvironment|Process set up with this SSH Agent info: 4956:/tmp/ssh-oGoaStqAbPxd/agent.4912
